		subject_id	subject_label	object_id	object_label	predicate_id	match_type	Text Strings Match?	Category 	Comments
		http://purl.obolibrary.org/obo/ENVO_00000039	fjord	http://sweetontology.net/realmHydroBody/Fiord	Fiord	skos:closeMatch	HumanCurated	Y	Type difference	SWEET considers fjords to be a subtype of estuary - ENVO doesn't.  
		http://purl.obolibrary.org/obo/ENVO_03000142	snow water equivalent	http://sweetontology.net/propSpaceThickness/SnowWaterEquivalent	SnowWaterEquivalent	skos:closeMatch	HumanCurated	Y	Type difference	Snow water equivalent is a quality in ENVO and a property in SWEET
		http://purl.obolibrary.org/obo/ENVO_01000895	snowfall	http://sweetontology.net/phenAtmoPrecipitation/Snowfall	Snowfall	skos:closeMatch	HumanCurated	Y	Type difference	In ENVO this is a commitment to a water ice precipitation process; while in SWEET it is a type of atmospheric precipitation which is a phenomenon (which is ambiguous).  At the top level these may not be quite the same.
SWEET Hierarchy suspect									5	
		http://purl.obolibrary.org/obo/ENVO_00000429	arete	http://sweetontology.net/realmLandGlacial/Arete	Arete	skos:relatedMatch	HumanCurated	Y	SWEET Hierarchy suspect	"In SWEET an arete is considered to be a type of plain, but in ENVO and in actuality an arete is a kind of ridge; so the SWEET hierarchy needs to be changed.  It should be noted that SWEET has 3 kinds of ridge; the closest is http://sweetontology.net/realmLandOrographic/Ridge."
		http://purl.obolibrary.org/obo/ENVO_01000903	blizzard	http://sweetontology.net/phenAtmoPrecipitation/Blizzard	Blizzard	skos:relatedMatch	HumanCurated	Y	SWEET Hierarchy suspect	Candidate Exact/Close match if SWEET updates the defintion and or hierachical placement. In ENVO it's a snowstorm that includes snow fall. In SWEET it's a snowfall.
		http://purl.obolibrary.org/obo/ENVO_00000155	cirque	http://sweetontology.net/realmLandGlacial/Cirque	Cirque	skos:relatedMatch	HumanCurated	Y	SWEET Hierarchy suspect	"In SWEET this is a subclass of plain, but actually it is a roughly circular depression at the peak (which is a comment in SWEET), so the SWEET Heirarchy should be updated."
		http://purl.obolibrary.org/obo/ENVO_00000299	ice field	http://sweetontology.net/realmCryo/IceField	IceField	skos:relatedMatch	HumanCurated	Y	SWEET Hierarchy suspect	In SWEET ice field is sea ice; whereas in ENVO an ice cap is just a planetary body part
		http://purl.obolibrary.org/obo/ENVO_00000177	moraine	http://sweetontology.net/realmLandGlacial/Moraine	Moraine	skos:relatedMatch	HumanCurated	Y	SWEET Hierarchy suspect	"In SWEET this is a subclass of plain, but actually it is not a flat landform!"
Complex									9	
		http://purl.obolibrary.org/obo/ENVO_01001656	glacial retreat	http://sweetontology.net/phenCryo/GlacierRetreat	GlacierRetreat	skos:relatedMatch	HumanCurated	Y	Complex	"SWEET aggregates several processes operating at different levels.  SWEET has close match to the ENVO term, but we aren't convinced"
		http://purl.obolibrary.org/obo/ENVO_03400005	ice pellet	http://sweetontology.net/phenAtmoPrecipitation/IcePellet	IcePellet	skos:relatedMatch	HumanCurated	Y	Complex	"Within SWEET this is subclassed to both ice (a material) and atmospheric precipitation which is a process. If this were just a material it woud be a candidate exact match to ENVO, however having both parents makes this mapping ambiguous. "
		http://purl.obolibrary.org/obo/ENVO_01000882	icestorm	http://sweetontology.net/phenAtmoPrecipitation/IceStorm	IceStorm	skos:relatedMatch	HumanCurated	Y	Complex	In ENVO this is a process while in SWEET it is a type of Atmospheric precipitation which is a phenomenon (which is ambiguous). The relations between the two term's superclass is what leads us to say related instead of close. 
		http://purl.obolibrary.org/obo/ENVO_03400003	snow cover	http://sweetontology.net/phenHydro/SnowCover	SnowCover	skos:relatedMatch	HumanCurated	Y	Complex	SWEET has two terms for snow cover (a thickness and a hydrospheric phenomenon);  
		http://purl.obolibrary.org/obo/ENVO_03400003	snow cover	http://sweetontology.net/propSpaceThickness/SnowCover	SnowCover	skos:relatedMatch	HumanCurated	Y	Complex	SWEET has two terms for snow cover (a thickness and a hydrospheric phenomenon);  
		http://purl.obolibrary.org/obo/ENVO_00000552	talik	http://sweetontology.net/realmSoil/Talik	Talik	skos:relatedMatch	HumanCurated	Y	Complex	In SWEET talik is a soil layer; but there is no definition.  In ENVO talik is an area of unfrozen ground surrounded by permafrost.
		http://purl.obolibrary.org/obo/ENVO_01001622	englacial process	http://sweetontology.net/phenCryo/EnglacialProcess	EnglacialProcess	skos:closeMatch	HumanCurated	Y	Complex	Candidate Exact match.  In SWEET this is deprecated.
		http://purl.obolibrary.org/obo/ENVO_03000002	firn	http://sweetontology.net/matrWater/Firn	Firn	skos:closeMatch	HumanCurated	Y	Complex	SWEET has it as subclass to ice crystal which is probably not correct with the definition of firn we've come across. This could be refined in SWEET. If it is put as a subclass of snow it would be a candidate exact match. 
		http://purl.obolibrary.org/obo/ENVO_01001848	rime	http://sweetontology.net/matrWater/Rime	Rime	skos:closeMatch	HumanCurated	Y	Complex	In ENVO this is a type of frost; while frost and rime are in separate trees in SWEET. The form of the ENVO definition should be updated. 
Missing SWEET Definition									25	
		http://purl.obolibrary.org/obo/ENVO_01000691	avalanche	http://sweetontology.net/phenGeolGeomorphology/Avalanche	Avalanche	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term.
		http://purl.obolibrary.org/obo/ENVO_00003044	brine	http://sweetontology.net/matrWater/Brine	Brine	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	Candidate Exact match if SWEET adopts the ENVO definition.
		http://purl.obolibrary.org/obo/ENVO_01001522	fast ice	http://sweetontology.net/realmCryo/FastIce	FastIce	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
		http://purl.obolibrary.org/obo/ENVO_03000046	frazil ice	http://sweetontology.net/realmCryo/FrazilIce	FrazilIce	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
		http://purl.obolibrary.org/obo/ENVO_01001548	freezing	http://sweetontology.net/procStateChange/Freezing	Freezing	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
		http://purl.obolibrary.org/obo/ENVO_01001850	frost	http://sweetontology.net/matrWater/Frost	Frost	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
		http://purl.obolibrary.org/obo/ENVO_01001655	glacial process	http://sweetontology.net/phenCryo/GlacialProcess	GlacialProcess	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
		http://purl.obolibrary.org/obo/ENVO_00000133	glacier	http://sweetontology.net/realmCryo/Glacier	Glacier	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term. SWEET has this as exact match but is missing a definition.
		http://purl.obolibrary.org/obo/ENVO_01001746	glacier wind	http://sweetontology.net/phenAtmoWindMesoscale/GlacierWind	GlacierWind	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
		http://purl.obolibrary.org/obo/ENVO_01001876	graupel	http://sweetontology.net/phenAtmoPrecipitation/Graupel	Graupel	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
		http://purl.obolibrary.org/obo/ENVO_01000880	hailstorm	http://sweetontology.net/phenAtmoPrecipitation/HailStorm	HailStorm	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	Candidate Exact match. Depending on SWEET's placement of phenomena.
		http://purl.obolibrary.org/obo/ENVO_03400004	heavy snowfall	http://sweetontology.net/phenAtmoPrecipitation/HeavySnowfall	HeavySnowfall	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	Candidate Exact match. Depending on SWEET's placement of phenomena.
		http://purl.obolibrary.org/obo/ENVO_00000516	hummock	" 	

http://sweetontology.net/realmLandOrographic/Hummock"	Hummock	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
		http://purl.obolibrary.org/obo/ENVO_03000065	ice floe	http://sweetontology.net/realmCryo/IceFloe	IceFloe	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
		http://purl.obolibrary.org/obo/ENVO_00000132	ice sheet	http://sweetontology.net/realmCryo/IceSheet	IceSheet	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
		http://purl.obolibrary.org/obo/ENVO_00000380	ice shelf	http://sweetontology.net/realmCryo/IceShelf	IceShelf	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
		http://purl.obolibrary.org/obo/ENVO_01001546	iceberg	http://sweetontology.net/realmCryo/Iceberg	Iceberg	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
		http://purl.obolibrary.org/obo/ENVO_03400007	lake-effect snow storm	http://sweetontology.net/phenAtmoPrecipitation/LakeEffectSnowstorm	LakeEffectSnowstorm	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	Candidate Exact match. SWEET needs a definition and depending on what that becomes this could become exact match
		http://purl.obolibrary.org/obo/ENVO_03400008	lambing storm	http://sweetontology.net/phenAtmoPrecipitation/LambingStorm	LambingStorm	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	Candidate Exact match. SWEET needs a definition and depending on what that becomes this could become exact match
		http://purl.obolibrary.org/obo/ENVO_01000690	mass wasting	http://sweetontology.net/phenGeolGeomorphology/MassWasting	MassWasting	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	SWEET hierarchy looks to be a process like in ENVO's. A candidate for exact match if SWEET adds ENVO's definition to SWEET's term.
		http://purl.obolibrary.org/obo/ENVO_01000723	melting	http://sweetontology.net/procStateChange/Melting	Melting	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
		http://purl.obolibrary.org/obo/ENVO_00002200	sea ice	http://sweetontology.net/realmCryo/SeaIce	SeaIce	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
		http://purl.obolibrary.org/obo/ENVO_01000406	snow	http://sweetontology.net/matrWater/Snow	Snow	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	Candidate Exact match if SWEET adopts the ENVO definition.
		http://purl.obolibrary.org/obo/ENVO_01001534	tabular iceberg	http://sweetontology.net/realmCryo/TabularIceberg	TabularIceberg	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
		http://purl.obolibrary.org/obo/ENVO_03000085	thermokarst	http://sweetontology.net/realmLandGlacial/Thermokarst	Thermokarst	skos:closeMatch	HumanCurated	Y	Missing SWEET Definition	"In SWEET this is a landform, which is accurate - need to compare upper level layers to determine if an exact match could be made if SWEET adopted the ENVO definition"
Granularity									1	
		http://purl.obolibrary.org/obo/ENVO_03000066	sea ice floe	http://sweetontology.net/realmCryo/Floe	sea ice floe	skos:broadMatch	HumanCurated	Y	Granularity	ENVO sea ice floe is a more specific term than the SWEET term Floe.
(blank)									2	
	skos:closeMatch					31				
	skos:broadMatch					1				
